 |Mine Name|Mine Name AKAs|Mine Name (Non-ENG)|GEM Wiki Page (ENG)|GEM Wiki Page (Non-ENG)|Status|Status Detail|Project Type|Project Phase|Operators|Owners|Parent Company|Company HQs|Production or Capacity Data (Mtpa)|Coal Output (Annual, Mt)|Coal Output (Annual, Mst)|Mine Type|Mining Method|Mine Size (Km2)|Mine Depth (m)|Depth Accuracy|Workforce Size|Coal Type|Coal Grade|Reserves Total (Proven & Probable)|Proven Reserve|Probable Reserve|Resource (Measured)|Resource (Indicated)|Resource (Measured + Indicated)|Resource (Total - Inferred, Indicated, Measured)|Reserve to Production Ratio (R/P)|Opening Year|Reported Life of Mine|Coalfield|Location|Prefecture, District|State, Province|Country|ISO Code|Region|Latitude|Longitude|Location Accuracy|Primary Consumer, Destination|Coal Plant, Steel Plant, Terminal|Coal Plant, Steel Plant, Terminal GEM Wiki|Methane Gas Content (m^3/tonne)|Coal Mine Methane Emissions Estimate (MCM/yr)|CMM Emissions (CO2e 100 years)|Carbon Dioxide Emissions (Mt CO2/yr)
M2468|Zenzifang Coal Mine||大同煤矿集团铁峰煤业有限公司增子坊煤矿|https://www.gem.wiki/Zenzifang_Coal_Mine|https://www.gem.wiki/%E5%A4%A7%E5%90%8C%E7%85%A4%E7%9F%BF%E9%9B%86%E5%9B%A2%E9%93%81%E5%B3%B0%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%A2%9E%E5%AD%90%E5%9D%8A%E7%85%A4%E7%9F%BF|Proposed|Construction|Expansion||Datong Coal Mining Group Tiefeng|Jinneng Holding Group|Jinneng Group|China|Capacity|3||Underground||7.6036|456|Estimate||Bituminous|Thermal|79|-|-|-|-|-|155|26|TBD||Datong|Zengzifang Village, Yuanbaozi Town|Shuozhou|Shanxi|China|156|East Asia|39.797276|112.583252|Exact||||13.2|63.4|1.3|7.20
M0425|Zhahazhuoer Surface Coal Mine||内蒙古霍林河露天煤业股份有限公司扎哈淖尔露天煤矿|https://www.gem.wiki/Zhahazhuoer_surface_mine|https://www.gem.wiki/内蒙古霍林河露天煤业股份有限公司扎哈淖尔露天煤矿|Operating||||Inner Mongolia Huolinhe Open-Pit Coal Industry Company|State Power Investment Corporation (SPIC) (39%), Huolinhe Coal Industry Group Company (26%), Others (35%)|State Power Investment Corporation (SPIC) (39%), Huolinhe Coal Industry Group Company (26%), Others (35%)|China|Capacity|18||Surface|Open Pit|30.54|50|Estimate||Lignite|Thermal|703|-|-|-|-|-|-|39|2010|36||Zhahazhuoer Development Zone|Tongliao|Inner Mongolia|China|156|East Asia|45.378683|119.423037|Exact||||0.8|21.6|0.4|21.27
M2292|Zhaiyadi Coal Mine||山西柳林寨崖底煤业有限公司|https://www.gem.wiki/Zhaiyadi_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%9F%B3%E6%9E%97%E5%AF%A8%E5%B4%96%E5%BA%95%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Liulin Zhaiyadi Coal Industry Company|Gumpert Industries (HK) Limited|Gumpert Industries (HK) Limited|China|Capacity|1.75||Underground|Longwall|13.9071|700|Exact|1705|Bituminous|Met|24|-|-|-|-|-|-|14|2000|9|Hedong|Xia Luohou Village, Chenjiawan Township|Luliang|Shanxi|China|156|East Asia|37.363108|111.020345|Exact||||15.6|43.7|0.9|4.59
M2293|Zhaizhen Coal Mine||山东泰山能源有限责任公司翟镇煤矿|https://www.gem.wiki/Zhaizhen_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E4%B8%9C%E6%B3%B0%E5%B1%B1%E8%83%BD%E6%BA%90%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E7%BF%9F%E9%95%87%E7%85%A4%E7%9F%BF|Operating||||Shandong Taishan Energy Company Zhaizhen Coal Mine|Beijing Tiantian Technology Company|Beijing Tiantian Technology Company|China|Capacity|1.7||Underground|Longwall|13.581|400|Exact|2154|Bituminous|Thermal & Met|13|-|-|-|-|-|-|8|1993|5|Xinwen|Zhai Town|Tai'an|Shandong|China|156|East Asia|35.941753|117.663042|Exact||||12.5|34.0|0.7|4.08
M1249|Zhangcun Coal Mine||山西潞安环保能源开发股份有限公司漳村煤矿|https://www.gem.wiki/Zhangcun_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%BD%9E%E5%AE%89%E7%8E%AF%E4%BF%9D%E8%83%BD%E6%BA%90%E5%BC%80%E5%8F%91%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%BC%B3%E6%9D%91%E7%85%A4%E7%9F%BF|Mothballed||||Shanxi Lu'an Environmental Energy Development Company|Lu'an Chemical Group Company|Lu'an Chemical Group|China|Capacity|4||Underground|Longwall|34.28|456|Estimate|3645|Bituminous|Thermal|84|-|-|-|-|-|-|21|1980|12|Qinshui|Baitu|Changzhi|Shanxi|China|156|East Asia|36.430986|113.047655|Exact||||13.2|84.5|1.7|9.60
M3102|Zhangcun Coal Mine No. 4 Well||冀中能源股份有限公司章村矿四井|https://www.gem.wiki/Zhangcun_Coal_Mine_No._4_Well|https://www.gem.wiki/%E5%86%80%E4%B8%AD%E8%83%BD%E6%BA%90%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E7%AB%A0%E6%9D%91%E7%9F%BF%E5%9B%9B%E4%BA%95|Operating||||Jizhong Energy Resources CompanyZhangcun Coal Mine|Jizhong Energy Group Company|Jizhong Energy Group|China|Capacity|0.9||Underground|Longwall|33.68|100|Exact||Anthracite|Thermal|-|-|-|-|-|-|88|-|1969|||Yaopo Village|Xingtai|Hebei|China|156|East Asia|36.859509|114.270854|Exact||||11.4|16.4|0.3|2.32
M0426|Zhangji Coal Mine||淮南矿业（集团）有限责任公司张集煤矿|https://www.gem.wiki/Zhangji_Coal_Mine|https://www.gem.wiki/%E6%B7%AE%E5%8D%97%E7%9F%BF%E4%B8%9A%EF%BC%88%E9%9B%86%E5%9B%A2%EF%BC%89%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E5%BC%A0%E9%9B%86%E7%85%A4%E7%9F%BF|Operating||||Huainan Mining Group|Huaihe Energy Holding Group Company (83%), China Cinda Asset Management Company (8%), National Energy Investment Group (3%), Others (6%)|Huaihe Energy (83%), China Cinda Asset Management Company (8%), China Energy (3%), Others (6%)|China|Capacity|12.3||Underground||71.09|456|Estimate|8777|Bituminous|Thermal & Met|817|-|-|-|-|-|-|66|2001|48||Yuezhangji|Huainan|Anhui|China|156|East Asia|32.746348|116.515103|Exact||||13.2|259.8|5.2|29.51
M0427|Zhangjiamao Coal Mine||陕煤集团神木张家峁矿业有限公司张家峁煤矿|https://www.gem.wiki/Zhangjiamao_Coal_Mine|https://www.gem.wiki/%E9%99%95%E7%85%A4%E9%9B%86%E5%9B%A2%E7%A5%9E%E6%9C%A8%E5%BC%A0%E5%AE%B6%E5%B3%81%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%BC%A0%E5%AE%B6%E5%B3%81%E7%85%A4%E7%9F%BF|Operating||||Shaanxi Coal Group, Shenmu Zhangjiamao Mining Company|Shaanxi Coal and Chemical Industry Group (35%), Shenmu State-Owned Assets Operation Company (45%), Others (20%)|Shaanxi Coal and Chemical Industry Group (35%), Shenmu State-Owned Assets Operation Company (45%), Others (20%)|China|Capacity|10||Underground||51.98|456|Estimate|972|Bituminous|Thermal|543|-|-|-|-|-|-|54|2011|37||Dianta|Yulin|Shaanxi|China|156|East Asia|38.936832|110.402261|Exact||||13.2|211.2|4.2|24.00
M2294|Zhangshuanglou Coal Mine||江苏徐矿能源股份有限公司张双楼煤矿|https://www.gem.wiki/Zhangshuanglou_Coal_Mine|https://www.gem.wiki/%E6%B1%9F%E8%8B%8F%E5%BE%90%E7%9F%BF%E8%83%BD%E6%BA%90%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%BC%A0%E5%8F%8C%E6%A5%BC%E7%85%A4%E7%9F%BF|Operating||||Jiangsu Xukuang Energy Company Zhangshuanglou Coal Mine|Xuzhou Coal Mining Group Corp.|Xuzhou Coal Mining Group|China|Capacity|1.8||Underground|Longwall|37.8623|750|Exact|3669|Bituminous|Met|82|-|-|-|-|-|-|45|1986|46|Peixian|Anguo|Xuzhou|Jiangsu|China|156|East Asia|34.807205|116.836652|Exact|Coal Plant|Guohua Xuzhou Power Generation||15.9|45.8|0.9|4.72
M2295|Zhangzishan Coal Mine||山西中阳张子山煤业有限公司|https://www.gem.wiki/Zhangzishan_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E4%B8%AD%E9%98%B3%E5%BC%A0%E5%AD%90%E5%B1%B1%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Zhongyang Zhangzishan Coal Industry Company|Shanxi Zhongyang Iron and Steel Company|Shanxi Zhongyang Iron and Steel Company|China|Capacity|1.2||Underground|Longwall|9.4301|1040|Exact|645|Bituminous|Met|58|-|-|-|-|-|-|49|2007|33|Hedong|Nance Village, Zhangzishan Township|Luliang|Shanxi|China|156|East Asia|37.43034|111.18716|Exact|Steel Plant|Shanxi Zhongyang Iron and Steel||17.5|33.6|0.7|3.15
M0428|Zhanihe Surface Mine||内蒙古大雁矿业集团有限责任公司扎尼河露天矿|https://www.gem.wiki/Zhanihe_surface_mine|https://www.gem.wiki/%E5%A4%A7%E9%9B%81%E7%9F%BF%E4%B8%9A%E9%9B%86%E5%9B%A2%E6%89%8E%E5%B0%BC%E6%B2%B3%E9%9C%B2%E5%A4%A9%E7%9F%BF|Operating||||Dayan Mine Industry Group|National Energy Investment Group|China Energy|China|Capacity|6||Surface|Open Pit|14.90|60|Estimate|482|Bituminous|Thermal|235|-|-|-|-|-|-|39|2017|33||Dayan|Hulun Buir|Inner Mongolia|China|156|East Asia|49.147909|120.227287|Exact||||3.5|31.5|0.6|14.40
M1250|Zhaogu No. 1 Coal Mine||焦作煤业集团赵固（新乡）能源有限责任公司赵固一矿|https://www.gem.wiki/Zhaogu_No.1_Coal_Mine|https://www.gem.wiki/%E7%84%A6%E4%BD%9C%E7%85%A4%E4%B8%9A%E9%9B%86%E5%9B%A2%E8%B5%B5%E5%9B%BA%EF%BC%88%E6%96%B0%E4%B9%A1%EF%BC%89%E8%83%BD%E6%BA%90%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E8%B5%B5%E5%9B%BA%E4%B8%80%E7%9F%BF|Operating||||Jiaozuo Coal Group Zhaogu (Xinxiang) Energy Company|Henan Energy Chemical Group Company|Henan Energy Chemical Group|China|Capacity|3||Underground|Longwall|81.58|500|Exact|3448|Anthracite|Thermal|129|-|-|-|-|-|-|43|2008|31|Jiaozuo|Jitun Town|Xinxiang|Henan|China|156|East Asia|35.411295|113.628405|Exact||||24.2|116.2|2.3|7.74
M2296|Zhaogu No.2 Coal Mine||焦作煤业（集团）新乡能源有限公司赵固二矿|https://www.gem.wiki/Zhaogu_No.2_Coal_Mine|https://www.gem.wiki/%E7%84%A6%E4%BD%9C%E7%85%A4%E4%B8%9A%EF%BC%88%E9%9B%86%E5%9B%A2%EF%BC%89%E6%96%B0%E4%B9%A1%E8%83%BD%E6%BA%90%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E8%B5%B5%E5%9B%BA%E4%BA%8C%E7%9F%BF|Operating||||Jiaozuo Coal Industry Group Xinxiang Energy Company|Henan Energy Chemical Group Company|Henan Energy Chemical Group|China|Capacity|1.8||Underground|Longwall|69.079|1000|Exact||Anthracite|Thermal|125|-|-|-|-|-|-|70|2011|50|Jiaozuo|Zhaogu Township|Xinxiang|Henan|China|156|East Asia|35.415665|113.698172|Exact|Steel Plant|Baoshan Iron & Steel||28.1|80.9|1.6|4.64
M2297|Zhaojiashan Coal Mine||山西东辉集团赵家山煤业有限公司|https://www.gem.wiki/Zhaojiashan_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E4%B8%9C%E8%BE%89%E9%9B%86%E5%9B%A2%E8%B5%B5%E5%AE%B6%E5%B1%B1%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Donghui Group Zhaojiashan Coal Industry Company|Shanxi Donghui Coal Coking & Chemicals Group Company|Shanxi Donghui Coal Coking & Chemicals Group Company|China|Capacity|1.2||Underground|Longwall|6.6392|700|Exact||Bituminous|Thermal & Met|63|-|-|-|-|-|-|52|2018|37|Xishan|Zhaojiashan Village, Dongyu Town|Taiyuan|Shanxi|China|156|East Asia|37.651195|112.229621|Exact||||15.6|30.0|0.6|2.88
M1251|Zhaojiazhai Coal Mine||河南省新郑煤电有限责任公司赵家寨煤矿|https://www.gem.wiki/Zhaojiazhai_Coal_Mine|https://www.gem.wiki/%E6%B2%B3%E5%8D%97%E7%9C%81%E6%96%B0%E9%83%91%E7%85%A4%E7%94%B5%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E8%B5%B5%E5%AE%B6%E5%AF%A8%E7%85%A4%E7%9F%BF|Operating||||Henan Xinzheng Coal and Electricity Company|Zhengzhou Coal Industry Group Company|Zhengzhou Coal Industry Group|China|Capacity|3||Underground|Longwall|48.96|225|Exact|3000|Bituminous|Thermal|178|-|-|-|-|-|-|59|2009|60|Xinmi|Xindian Town|Zhengzhou|Henan|China|156|East Asia|34.405964|113.623169|Exact||||9.1|43.7|0.9|7.20
M2298|Zhaojin Coal Mine||铜川市耀洲区照金矿业有限公司|https://www.gem.wiki/Zhaojin_Coal_Mine|https://www.gem.wiki/%E9%93%9C%E5%B7%9D%E5%B8%82%E8%80%80%E6%B4%B2%E5%8C%BA%E7%85%A7%E9%87%91%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Zhaojin Mining Company of Yaozhou District, Tongchuan City|Shanxi Kuntai Energy Company|Shanxi Kuntai Energy Company|China|Capacity|1.8||Underground|Longwall|14.3|210|Exact|372|Bituminous|Thermal|16|-|-|-|-|-|-|9|2007|6|Huanglong|Zhaojin Village, Zhaojin Town|Tongchuan|Shaanxi|China|156|East Asia|35.065339|108.620152|Exact||||8.9|25.6|0.5|4.32
M1252|Zhaolou Coal Mine||兖煤菏泽能化有限公司赵楼煤矿|https://www.gem.wiki/Zhaolou_Coal_Mine|https://www.gem.wiki/%E5%85%96%E7%85%A4%E8%8F%8F%E6%B3%BD%E8%83%BD%E5%8C%96%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E8%B5%B5%E6%A5%BC%E7%85%A4%E7%9F%BF|Operating||||Yanzhou Coal Heze Energy Chemical Company|Shandong Yanzhou Mining Group|Shandong Yanzhou Mining Group|China|Capacity|3.3||Underground|Longwall|143.3549|905|Exact|3000|Bituminous|Met|188|-|-|-|-|-|-|57|2009|47||Nanzhaolou Town|Heze|Shandong|China|156|East Asia|35.386969|115.952375|Exact|Coal Plant|Heze Zhaolou Power Station|https://www.gem.wiki/Heze_Zhaolou_power_station|16.8|88.7|1.8|8.65
M0429|Zhaoshipan Coal Mine||陕西能源赵石畔煤电有限公司赵石畔煤矿|https://www.gem.wiki/Zhaoshipan_coal_mine|https://www.gem.wiki/陕西能源赵石畔煤电有限公司赵石畔煤矿|Proposed|Permitted|New||Shaanxi Energy Zhaoshipan Coal Power Company|Shaanxi Investment Group (54%), Yulin City Finance Investment Management Company (20%), Shaanxi Yulin Energy Group (20%), Others (6%)|Shaanxi Investment Group (54%), Yulin City Finance Investment Management Company (20%), Shaanxi Yulin Energy Group (20%), Others (6%)|China|Capacity|6||Underground||298.50|456|Estimate||Bituminous|Thermal|792|-|-|-|-|-|-|132|TBD|94|||Yulin|Shaanxi|China|156|East Asia|37.925202|109.084203|Exact||||13.2|126.7|2.5|14.40
M1326|Zhaoxian Coal Mine||陕西金源招贤矿业有限公司招贤煤矿|https://www.gem.wiki/Zhaoxian_Coal_Mine|https://www.gem.wiki/陕西金源招贤矿业有限公司招贤煤矿|Operating|Test Operation|||Shaanxi Jinyuan Zhaoxian Mining Company|Shaanxi Jinyuan Zhaoxian Mining Company|Shaanxi Jinyuan Zhaoxian Mining Company|China|Capacity|2.4||Underground||79.2|456|Estimate||Bituminous||194|-|-|-|-|-|-|81||58||Lijiagou Village, Zhaoxian Town|Baoji|Shaanxi|China|156|East Asia|34.768802|107.627583|Exact||||13.2|50.7|1.0|5.76
M0430|Zhaozhuang Coal Mine||山西晋煤集团赵庄煤业有限责任公司赵庄煤矿|https://www.gem.wiki/Zhaozhuang_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%99%8B%E7%85%A4%E9%9B%86%E5%9B%A2%E8%B5%B5%E5%BA%84%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E8%B5%B5%E5%BA%84%E7%85%A4%E7%9F%BF|Operating||||Shanxi Jinmei Group, Zhaozhuang Coal Industry Company|Shanxi Jincheng Anthracite Coal Industry Group|Shanxi Jincheng Anthracite Coal Industry Group|China|Capacity|8||Underground||144.01|456|Estimate|4873|Bituminous|Met|331|-|-|-|-|-|-|41|2007|30||Cilin|Changzhi|Shanxi|China|156|East Asia|35.994902|112.887321|Exact||||13.2|169.0|3.4|20.98
M2299|Zhaozhuang Coal Mine No. 2 Well||山西晋煤集团赵庄煤业有限责任公司二号井|https://www.gem.wiki/Zhaozhuang_Coal_Mine_No._2_Well|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%99%8B%E7%85%A4%E9%9B%86%E5%9B%A2%E8%B5%B5%E5%BA%84%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E4%BA%8C%E5%8F%B7%E4%BA%95|Operating||||Shanxi Jinmei Group Zhaozhuang Coal Industry Company No. 2 Well|Jinneng Holding Group|Jinneng Group|China|Capacity|1.2||Underground|Longwall|13.426|470|Exact|1112|Bituminous|Thermal|39|-|-|-|-|-|-|32|2011|22|Qinshui|Cilin|Changzhi|Shanxi|China|156|East Asia|36.012508|112.930231|Exact||||13.5|25.9|0.5|2.88
M2300|Zhenchengdi Coal Mine||山西西山煤电股份有限公司镇城底矿|https://www.gem.wiki/Zhenchengdi_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E8%A5%BF%E5%B1%B1%E7%85%A4%E7%94%B5%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%95%87%E5%9F%8E%E5%BA%95%E7%9F%BF|Operating||||Shanxi Coking Coal Energy Group|Shanxi Coking Coal Group|Shanxi Coking Coal Group|China|Capacity|1.9||Underground|Longwall|23.8|760|Exact|2625|Bituminous|Met|98|-|-|-|-|-|-|51|1983|117|Xishan|Zhenchengdi Town|Taiyuan|Shanxi|China|156|East Asia|37.943084|112.064366|Exact||||16|48.6|1.0|4.98
M0431|Zhengbang Coal Mine||山西汾西正帮煤业有限责任公司|https://www.gem.wiki/Zhengbang_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%B1%BE%E8%A5%BF%E6%AD%A3%E5%B8%AE%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8|Operating||||Shanxi Fenxi Zhengbang Coal Industry Company|Xue Feng (49%), Shanxi Coking Coal Group (30%), China Cinda Asset Management Company (18%), China Huarong Asset Management Company (1%), China Construction Bank Corporation (1%), Others (1%)|Xue Feng (49%), Shanxi Coking Coal Group (30%), China Cinda Asset Management Company (18%), China Huarong Asset Management Company (1%), China Construction Bank Corporation (1%), Others (1%)|China|Capacity|1.2||Underground||11.66|456|Estimate|250|Bituminous||-|-|-|-|-|-|-|-|2021|||Yushuping Town|Xiaoyi|Shanxi|China|156|East Asia|36.973852|111.599951|Exact||||13.2|25.3|0.5|2.88
M3222|Zhengbang Liangshun Coal Mine||山西和顺正邦良顺煤业有限公司|https://www.gem.wiki/Zhengbang_Liangshun_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E5%92%8C%E9%A1%BA%E6%AD%A3%E9%82%A6%E8%89%AF%E9%A1%BA%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Heshun Zhengbang Liangshun Coal Industry Company|Shanxi Xinchangyuan Investment Company|Shanxi Xinchangyuan Investment Company|China|Capacity|0.9||Underground|Longwall|4.27|810|Exact|168|Anthracite|Thermal|10|-|-|-|-|-|-|11|1992|6|Qinshui Coalfield|Beiliyang Village, Liyang Town|Jinzhong|Shanxi|China|156|East Asia|37.41248|113.635418|Exact||||27|38.9|0.8|2.32
M3223|Zhengbang Shenlei Coal Mine||山西和顺正邦神磊煤业有限公司|https://www.gem.wiki/Zhengbang_Shenlei_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E5%92%8C%E9%A1%BA%E6%AD%A3%E9%82%A6%E7%A5%9E%E7%A3%8A%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Heshun Zhengbang Shenlei Coal Industry Company|Shanxi Xinchangyuan Investment Company|Shanxi Xinchangyuan Investment Company|China|Capacity|0.9||Underground|Longwall|4.07|1248|Exact|240|Bituminous|Thermal|14|-|-|-|-|-|-|16|2007|10|Qinshui Coalfield|Gongjiagou Village, Weima Township|Jinzhong|Shanxi|China|156|East Asia|37.247389|113.48359|Exact||||18.2|26.2|0.5|2.16
M2301|Zhengcun Coal Mine||洛阳义安矿业有限公司正村煤矿|https://www.gem.wiki/Zhengcun_Coal_Mine|https://www.gem.wiki/%E6%B4%9B%E9%98%B3%E4%B9%89%E5%AE%89%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%AD%A3%E6%9D%91%E7%85%A4%E7%9F%BF|Operating||||Zhengcun Coal Mine of Luoyang Yi'an Mining Company Zhengcun Coal Mine|Yima Coal Industry Group|Yima Coal Industry Group|China|Capacity|1.2||Underground|Longwall|28.7057|400|Exact|1661|Anthracite|Thermal|91|-|-|-|-|-|-|75|2009|53|Shanmian|Zhongyue Village, Zhengcun Township|Luoyang|Henan|China|156|East Asia|34.831426|112.196245|Exact||||22.6|43.4|0.9|3.10
M2948|Zhengfeng Coal Mine||山西汾西瑞泰正丰煤业有限公司|https://www.gem.wiki/Zhengfeng_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%B1%BE%E8%A5%BF%E7%91%9E%E6%B3%B0%E6%AD%A3%E4%B8%B0%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Proposed|Construction|New||Shanxi Fenxi Ruitai Zhengfeng Coal Industry Company|Shanxi Lingshi Energy Development Company (49%), Shanxi Coking Coal Group Company (21.53%), China Cinda Asset Management Company (13.03%), Shanxi Antai Group Company (7.14%), Jinzhong Municipal Public Infrastructure Investment Holdings Group Company (7.65%), Others (1.65%)|Shanxi Lingshi Energy Development Company (49%), Shanxi Coking Coal Group Company (21.53%), China Cinda Asset Management Company (13.03%), Shanxi Antai Group Company (7.14%), Jinzhong Municipal Public Infrastructure Investment Holdings Group Company (7.65%), Others (1.65%)|China|Capacity|0.9||Underground|||456|Estimate||Bituminous||-|-|-|-|-|-|-|-|TBD||||Shuozhou|Shanxi|China|156|East Asia|36.972191|111.540411|Exact||||13.2|19.0|0.4|2.16
M2402|Zhengfeng Shuangxin Coal Mine||鄂尔多斯市正丰矿业有限责任公司鄂托克旗双欣煤矿|https://www.gem.wiki/Zhengfeng_Shuangxin_Coal_Mine|https://www.gem.wiki/%E9%84%82%E5%B0%94%E5%A4%9A%E6%96%AF%E5%B8%82%E6%AD%A3%E4%B8%B0%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E9%84%82%E6%89%98%E5%85%8B%E6%97%97%E5%8F%8C%E6%AC%A3%E7%85%A4%E7%9F%BF|Operating||||Ordos Zhengfeng Mining Company|Inner Mongolia Shuangxin Resources Holdging Company|Inner Mongolia Shuangxin Resources Holding Company|China|Capacity|1.2||Underground|Longwall|4.06|1075|Exact|347|Bituminous|Met|47|-|-|-|-|-|-|39|2004|22|Zhuozishan|Qipanjing Industrial Park|Ordos|Inner Mongolia|China|156|East Asia|39.405333|106.985809|Exact||||17.6|33.8|0.7|3.15
M2302|Zhengli Coal Mine||山西焦煤集团岚县正利煤业有限公司|https://www.gem.wiki/Zhengli_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E7%84%A6%E7%85%A4%E9%9B%86%E5%9B%A2%E5%B2%9A%E5%8E%BF%E6%AD%A3%E5%88%A9%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Coking Coal Group Lanxian Zhengli Coal Industry Company|Shanxi Coking Coal Group|Shanxi Coking Coal Group|China|Capacity|1.5||Underground|Longwall|9.26|590|Exact|880|Bituminous|Met|95|-|-|-|-|-|-|64|2004|35|Ningwu|Sheke|Luliang|Shanxi|China|156|East Asia|38.208289|111.774685|Exact||||14.7|35.3|0.7|3.93
M0432|Zhengming Coal Mine||山西汾西瑞泰井矿正明煤业有限公司|https://www.gem.wiki/Zhengming_Coal_Mine|https://www.gem.wiki/山西汾西瑞泰井矿正明煤业有限公司|Proposed|Construction|New||Shanxi Fenxi Ruitai Coal Mine of Zhengming Coal Industry Company|Jizhong Energy Group (50%), Shanxi Coking Coal Group (15%), China Cinda Asset Management Company (9%), Jinzhong Ruiteli Eco-Development Company (18%), Shanxi Antai Group (7%)|Jizhong Energy Group (50%), Shanxi Coking Coal Group (15%), China Cinda Asset Management Company (9%), Jinzhong Ruiteli Eco-Development Company (18%), Shanxi Antai Group (7%)|China|Capacity|2.1||Underground||5.16|456|Estimate||Bituminous||31|-|-|-|-|-|-|15|TBD|14||Longquan Town|Shuozhou|Shanxi|China|156|East Asia|37.028703|113.356536|Exact||||13.2|44.4|0.9|5.04
M2949|Zhengshan Coal Mine||山西汾西正善煤业有限责任公司|https://www.gem.wiki/Zhengshan_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%B1%BE%E8%A5%BF%E6%AD%A3%E5%96%84%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8|Operating||||Shanxi Fenxi Zhengshan Coal Industry Company|Shanxi State-Owned Capital Investment and Operation Company|Shanxi State-Owned Capital Investment and Operation Company|China|Capacity|0.9||Underground|Longwall|10.56|419|Exact|512|Bituminous|Met|17|-|-|-|-|-|-|19|2020|11|Huoxi Coalfield|Zishan Village, Zhupu Town|Luliang|Shanxi|China|156|East Asia|37.010824|111.61116|Exact||||12.7|18.3|0.4|2.36
